inv_slug,canonical_dev,canonical_inv_id,canonical_img_count,canonical_has_profile,orphan_dev,orphan_inv_id,orphan_img_count,orphan_has_profile,action
3-wymiary-bronowice-krakow-pradnik-bialy,q3d-locum-sp-z-oo,NONE,12,False,quelle-locum-sp-z-oo,NONE,9,False,BOTH_HAVE_IMAGES
5th-avenue-apartments,5th-avenue-apartments-holding,NONE,26,False,5th-avenue-holding-sa,NONE,0,False,REMOVE_ORPHAN
apartamenty-klifova-apartamenty-inwestycyjne,residence-iii,NONE,10,False,tedex-service-sp-z-o-o,NONE,6,False,BOTH_HAVE_IMAGES
apartamenty-luzycka-56,mercede,NONE,17,False,mercede-spolka-z-o-o,NONE,2,False,BOTH_HAVE_IMAGES
apartamenty-marina-rogowo-gryficki-rogowo,mj-deweloper,NONE,9,False,enbud-sp-z-oo,NONE,0,False,REMOVE_ORPHAN
apartamenty-poligonowa-etap-4,rwp-development,NONE,4,False,rwp-inwestycje-sp-z-o-o,NONE,4,False,BOTH_HAVE_IMAGES
apartamenty-poligonowa-etap-5,rwp-development,NONE,4,False,rwp-inwestycje-sp-z-o-o,NONE,4,False,BOTH_HAVE_IMAGES
apartamenty-przystan-ii,rutkowski-group-sp-z-o-o,NONE,3,False,rutkowski-development,NONE,0,False,REMOVE_ORPHAN
atut,inpro-sa,NONE,20,False,inpro,NONE,9,True,BOTH_HAVE_IMAGES
banacha-12,super-krak,NONE,7,False,super-krak-sa,NONE,7,False,BOTH_HAVE_IMAGES
bufalo-park,bufalo-park-sp-z-o-o,NONE,13,False,kubat-investments,NONE,1,False,BOTH_HAVE_IMAGES
clou-lindego,clou-megapolis-sp-z-o-o-sp-komandytowa,NONE,15,False,megapolis-development,NONE,10,False,BOTH_HAVE_IMAGES
duet-jaskowa-dolina,pbm-i-r-budros,NONE,20,False,budros,NONE,0,False,REMOVE_ORPHAN
dzielnica-kielczanka-kielce,komplexbud,NONE,13,False,komplexbud-inwestycje-sp-z-oo,NONE,1,False,BOTH_HAVE_IMAGES
grano-hotel-solmarina-kup-apartament-hotelowy,dekpol-deweloper-sp-z-oo,NONE,5,False,dekpol-deweloper-sp-z-o-o,NONE,0,False,REMOVE_ORPHAN
ivy-by-blockhaus-zamieszkaj-w-centrum-mikolowa,blockhaus,NONE,5,False,blockhaus-sp-z-o-o,NONE,5,False,BOTH_HAVE_IMAGES
jasminowy-mokotow-etap-vi-warszawa-stegny,platforma-mieszkaniowa,NONE,6,False,skanska-residential-development-poland-sp-z-oo,NONE,0,True,REMOVE_ORPHAN
kepa-mieszczanska,milart,NONE,7,False,echo-investment-s-a,NONE,4,False,BOTH_HAVE_IMAGES
link-bunscha,megapolis-development,NONE,12,False,link-bunscha-megapolis-sp-z-o-o-sp-k,NONE,7,False,BOTH_HAVE_IMAGES
lunaria,budros,NONE,9,False,przedsiebiorstwo-budowlano-montazowe-i-rusztowaniowe-budros-sp-z-o-o,NONE,9,False,BOTH_HAVE_IMAGES
meva-gdynia-grabowek,rai-deweloper,NONE,13,False,rai-przedsiebiorstwo-budowlane,NONE,4,False,BOTH_HAVE_IMAGES
mickiewicza-ciechocinek,pres-grupa-deweloperska,NONE,13,False,nova-home-sp-z-oo,NONE,3,False,BOTH_HAVE_IMAGES
miejski-las-kolobrzeg,in-tech-industrial-service-sp-z-oo,NONE,12,False,in-tech-development-sp-z-o-o,NONE,8,False,BOTH_HAVE_IMAGES
mlyny-krolewskie-warszawa-wola-mlynow,dom-development-sa,NONE,28,True,lupkowa-park-sp-z-oo,NONE,0,False,REMOVE_ORPHAN
murapol-apartamenty-praskie-warszawa-praga-poludnie-witolin,murapol-sa,NONE,8,True,platforma-mieszkaniowa,NONE,7,False,BOTH_HAVE_IMAGES
