source,file_path,created_at,updated_at,scraper_version
rp,/Volumes/Samsam/Public/USIdata/022-investments/szalasa-3-warszawa-tarchomin/usi_rp_14563.json,2026-05-15T23:40:40.311611,2026-06-02T23:13:18.165244,pre-v0.7.0
oto,/Volumes/Samsam/Public/USIdata/022-investments/szalasa-5/usi_oto_4pcjZ.json,2026-05-15T23:40:41.357348,2026-05-25T02:06:18.587972,pre-v0.7.0
oto,/Volumes/Samsam/Public/USIdata/022-investments-sp-z-o-o/skarbka-z-gor-sg59/usi_oto_4tOBI.json,2026-05-25T02:06:18.582155,2026-05-25T02:06:18.582156,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/1-aleja/1-aleja-gdansk-suchanino/usi_rp_15198.json,2026-05-25T02:06:18.575236,2026-06-02T23:13:18.157134,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/28-czerwca-1956-r/28-czerwca-1956-r/usi_oto_4oFsz.json,2026-05-25T02:06:18.573513,2026-05-25T02:06:18.573515,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/2e-sp-z-oo/osiedle-kedzierskiego-radom/usi_rp_15314.json,2026-05-25T02:06:18.569296,2026-06-02T23:13:18.147838,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/2m-development/mozaikowe-zacisze-ozarow-mazowiecki/usi_rp_16040.json,2026-05-25T02:06:18.565563,2026-06-02T23:13:18.139438,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3-city-estate/jasienskie-domy-ii-gdansk-jasien/usi_rp_15395.json,2026-05-25T02:06:18.559583,2026-06-02T23:13:18.122817,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3-city-estate/jasminowy-stok-ii-gdansk-kokoszki/usi_rp_13499.json,2026-05-25T02:06:18.562751,2026-06-02T23:13:18.130227,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3city-invest/house-liberty-kartuski-chwaszczyno/usi_rp_16358.json,2026-05-25T02:06:18.552157,2026-06-02T23:13:18.103782,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3city-invest/osiedle-sosnova-gdynia-chwarzno-wiczlino/usi_rp_16740.json,2026-05-25T02:06:18.555788,2026-06-02T23:13:18.113140,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/3cityinvest/nowa-polnica/usi_oto_4pImz.json,2026-05-25T02:06:18.547263,2026-05-25T02:06:18.547264,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/3cityinvest/nowa-polnica-polnicy-gdansk-jasien-mieszkania-na-sprzedaz/usi_to_8879067.json,2026-06-02T10:53:48.340437,2026-06-02T10:53:48.642635,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3d-development/wolczanska-188-lodz/usi_rp_13378.json,2026-05-25T02:06:18.543623,2026-06-02T23:13:18.092415,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/3d-development-b4-sp-z-o-o/osiedle-nad-zalewem/usi_oto_4ooue.json,2026-05-25T02:06:18.540143,2026-05-25T02:06:18.540145,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3klucze-sc/green-park-apartamenty-jpii-lublin/usi_rp_14315.json,2026-05-25T02:06:18.536042,2026-06-02T23:13:18.080321,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/3msbud-sp-z-o-o/kameralne-wojszyce/usi_oto_4fS6R.json,2026-05-25T02:06:18.532399,2026-05-25T02:06:18.532401,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3msbud-sp-z-oo/twoje-wojszyce-wroclaw-wojszyce/usi_rp_16016.json,2026-05-25T02:06:18.529578,2026-06-02T23:13:18.073515,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/4-building-1-sp-z-o-o/nowa-strycharska-str-6-promocja/usi_oto_4rPHd.json,2026-05-25T02:06:18.526048,2026-05-25T02:06:18.526049,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4-building-sp-z-oo-sp-k/nowa-strycharska-str-6-lodz-piastow-kurak/usi_rp_17525.json,2026-05-25T02:06:18.516524,2026-06-02T23:13:18.049720,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4-building-sp-z-oo-sp-k/wille-lakowa-warszawa-dabrowka-szlachecka/usi_rp_14750.json,2026-05-25T02:06:18.520487,2026-06-02T23:13:18.057686,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4-building-sp-z-oo-sp-k/wille-podgorna-warszawa-bialoleka-henrykow/usi_rp_12248.json,2026-05-25T02:06:18.523236,2026-06-02T23:13:18.065028,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4-pory-roku-hotels/4-pory-roku-hotels-swieradow-zdroj/usi_rp_18335.json,2026-05-25T02:06:18.512394,2026-06-02T23:13:18.042463,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4estates/apartamenty-sudetia-jelenia-gora/usi_rp_17645.json,2026-05-25T02:06:18.507194,2026-06-02T23:13:18.033996,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/4estates-sp-z-o-o/apartamenty-sudetia/usi_oto_4s5vG.json,2026-05-25T02:06:18.502572,2026-05-25T02:06:18.502574,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/4estetica-sp-z-o-o/osiedle-hallera-grzybowice/usi_oto_4xb86.json,2026-05-25T02:06:18.497943,2026-05-25T02:06:18.497945,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4estetica-sp-z-oo/osiedle-hallera-zabrze/usi_rp_19677.json,2026-05-25T02:06:18.491862,2026-06-02T23:13:18.023979,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4k-development/magnoliowa-twin-ii-wieliczka/usi_rp_17087.json,2026-05-25T02:06:18.472489,2026-06-02T23:13:17.878313,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4k-development/magnoliowa-twin-wieliczka/usi_rp_14576.json,2026-05-25T02:06:18.476574,2026-06-02T23:13:17.984922,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/4k-development/nove-dobczyce/usi_oto_4ypcP.json,2026-05-25T02:06:18.480036,2026-05-25T02:06:18.480038,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4k-development/nove-dobczyce-dobczyce/usi_rp_17599.json,2026-05-25T02:06:18.483688,2026-06-02T23:13:18.008625,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/4k-development/rosa-hills/usi_oto_4zH5p.json,2026-05-25T02:06:18.487983,2026-05-25T02:06:18.487985,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/4pk-deweloper-sp-z-oo/kosciuszki-bydgoszcz/usi_rp_18753.json,2026-05-25T02:06:18.468743,2026-06-02T23:13:17.870308,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/5842762233/sto10-chylonska/usi_oto_4qAUY.json,2026-05-25T02:06:18.462820,2026-05-25T02:06:18.462822,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/5th-avenue-holding-s-a/5th-avenue-apartments/usi_oto_4xys5.json,2026-05-25T02:06:18.457930,2026-05-25T02:06:18.457932,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/5th-avenue-holding-sa/nowa-awangarda-wroclaw-przedmiescie-olawskie/usi_rp_18161.json,2026-05-25T02:06:18.451412,2026-06-02T23:13:17.861253,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/5w/madalinskiego-antoniego-madalinskiego-gdansk-chelm-mieszkania-na-sprzedaz/usi_to_9226914.json,2026-05-25T02:05:00.621658,2026-05-25T02:05:00.621660,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/9and7-sp-z-o-o/kamienica-25/usi_oto_4p5HO.json,2026-05-25T02:06:18.446615,2026-05-25T02:06:18.446616,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/a2-inwestycje-sp-z-o-o/twoj-pogroszew-warszawski-zachodni/usi_rp_15975.json,2026-05-25T02:06:18.437131,2026-06-02T23:13:17.848152,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/a2-inwestycje-sp-z-o-o/ziemia-obiecana-ozarow-mazowiecki/usi_rp_16071.json,2026-05-25T02:06:18.442978,2026-06-02T23:13:17.855403,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/ab-inwestor/impresja/usi_oto_4yvvX.json,2026-05-25T02:06:18.415504,2026-05-25T02:06:18.415507,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/ab-inwestor/la-esquina-gdynia-srodmiescie/usi_rp_15749.json,2026-05-25T02:06:18.421538,2026-06-02T23:13:17.702106,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/ab-inwestor/milosza/usi_oto_4sYKD.json,2026-05-25T02:06:18.425970,2026-05-25T02:06:18.425973,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/ab-inwestor/milosza-gdynia-redlowo/usi_rp_17903.json,2026-05-25T02:06:18.429869,2026-06-02T23:13:17.813042,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/ab-inwestor/mloda-polska-sopot/usi_rp_14058.json,2026-05-25T02:06:18.434205,2026-06-02T23:13:17.838175,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/abades-ewa-i-dariusz-strojni-spolka-jawna/mazowiecka-park-budynek-i-kolobrzeg/usi_rp_16702.json,2026-05-25T02:06:18.402742,2026-06-02T23:13:17.683470,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/abades-ewa-i-dariusz-strojni-spolka-jawna/polanki-aqua-budynek-e-kolobrzeg/usi_rp_16789.json,2026-05-25T02:06:18.409447,2026-06-02T23:13:17.692343,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/abades-strojny-spolka-komandytowa/mazowiecka-park/usi_oto_4eSkr.json,2026-05-25T02:06:18.388722,2026-05-25T02:06:18.388725,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/abades-strojny-spolka-komandytowa/mazowiecka-park-gotowe-mieszkania-juz-dzis/usi_oto_4eSkr.json,2026-05-25T02:05:00.611255,2026-05-25T02:05:00.611261,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/abades-strojny-spolka-komandytowa/polanki-aqua-apartamenty-z-gotowa-opcja-wynajmu/usi_oto_4giiI.json,2026-05-25T02:06:18.395850,2026-05-25T02:06:18.395852,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/abm-developer/nowe-sady-85-lodz-lublinek-pienista/usi_rp_15985.json,2026-05-25T02:06:18.374004,2026-06-02T23:13:17.648419,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/abm-developer/osiedle-zygmunta-lodz-wiskitno/usi_rp_17722.json,2026-05-25T02:06:18.379397,2026-06-02T23:13:17.656356,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/abm-developer/totu-apartamenty-opolczyka-lodz-olechow-janow/usi_rp_15215.json,2026-05-25T02:06:18.382398,2026-06-02T23:13:17.665604,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/abm-developer/zielone-kolumny-lodz-wiskitno/usi_rp_15988.json,2026-05-25T02:06:18.385272,2026-06-02T23:13:17.673409,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/abm-deweloper/apartamenty-opolczyka/usi_oto_4xF1A.json,2026-05-25T02:06:18.370234,2026-05-25T02:06:18.370236,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/abrigo-house/osielsko-ul-dluga-31/usi_oto_4tqk3.json,2026-05-25T02:06:18.366907,2026-05-25T02:06:18.366909,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/abud-trymarkiewicz-mwenderlich-spolka-jawna/chrzanowskiego-15-bydgoszcz-nowy-fordon/usi_rp_19298.json,2026-05-25T02:06:18.363621,2026-06-02T23:13:17.638286,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom/apartamenty-mikolowska/usi_oto_4arpH.json,2026-05-25T02:06:18.346659,2026-05-25T02:06:18.346661,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom/daszynskiego-park/usi_oto_4A4Gb.json,2026-05-25T02:06:18.352162,2026-05-25T02:06:18.352164,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/acatom/daszynskiego-park-daszynskiego-38-katowice-welnowiec-jozefowiec-mieszkania-na-sprzedaz/usi_to_9193821.json,2026-05-25T02:05:00.582209,2026-05-25T02:05:00.582211,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom/langiewicza-37/usi_oto_4lOHY.json,2026-05-25T02:06:18.356095,2026-05-25T02:06:18.356096,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/acatom/langiewicza-37-rzeszow-srodmiescie-mieszkania-na-sprzedaz/usi_to_9193814.json,2026-05-25T02:05:00.587773,2026-05-25T02:05:00.587777,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom/wawer-go-2-0/usi_oto_4sKhy.json,2026-05-25T02:06:18.359933,2026-05-25T02:06:18.359934,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/acatom/wawer-go-2-0-przylaszczkowa-17-warszawa-wawer-falenica-mieszkania-na-sprzedaz/usi_to_9193590.json,2026-05-25T02:05:00.593710,2026-05-25T02:05:00.593713,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/apartamenty-mikolowska-gliwice/usi_rp_13419.json,2026-05-25T02:06:18.315067,2026-06-02T23:13:17.576798,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/daszynskiego-park-katowice/usi_rp_13910.json,2026-05-25T02:06:18.320190,2026-06-02T23:13:17.586109,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/langiewicza-37-rzeszow/usi_rp_16854.json,2026-05-25T02:06:18.325220,2026-06-02T23:13:17.595544,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/piastowska-30-krakow/usi_rp_13421.json,2026-05-25T02:06:18.328955,2026-06-02T23:13:17.604916,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/podlesie-gliwice/usi_rp_20356.json,2026-05-25T02:06:18.333100,2026-06-02T23:13:17.615263,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/wawer-go-20-warszawa-falenica/usi_rp_17800.json,2026-05-25T02:06:18.337908,2026-06-02T23:13:17.622570,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acatom-sp-z-oo-spk/wawer-go-warszawa-wawer-falenica/usi_rp_12832.json,2026-05-25T02:06:18.342319,2026-06-02T23:13:17.630470,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom-tarnogorska-sp-z-o-o/gliwice-ul-podlesie-ul-tarnogorska-nowe-mieszkania/usi_oto_4Bpjv.json,2026-05-25T02:06:18.310297,2026-05-25T02:06:18.310300,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acatom-tarnogorska-sp-z-o-o/gliwice-ul-podlesie-ul-tarnogorska-nowe-mieszkania/usi_oto_68020790.json,2026-05-25T02:06:18.310297,2026-06-02T11:04:20.963974,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci/kamienna-28/usi_oto_4p8Kh.json,2026-05-25T02:06:18.294658,2026-05-25T02:06:18.294661,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci/kamienna-28-apartamenty-inwestycyjne/usi_oto_4p8Ki.json,2026-05-25T02:06:18.301427,2026-05-25T02:06:18.301429,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci/zbozowa/usi_oto_4nswp.json,2026-05-25T02:06:18.305545,2026-05-25T02:06:18.305548,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci-sp-z-oo/kamienna-28-gdansk-srodmiescie/usi_rp_16472.json,2026-05-25T02:06:18.273564,2026-06-02T23:13:17.537666,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci-sp-z-oo/osiedle-blanco-etap-ii-pruszkow/usi_rp_14821.json,2026-05-25T02:06:18.278939,2026-06-02T23:13:17.546379,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci-sp-z-oo/rytmo-warszawa-grodzisk/usi_rp_15221.json,2026-05-25T02:06:18.282166,2026-06-02T23:13:17.551754,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci-sp-z-oo/u-city-warszawa-golabki/usi_rp_15778.json,2026-05-25T02:06:18.286152,2026-06-02T23:13:17.558615,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/acciona-nieruchomosci-sp-z-oo/zbozowa-gdynia-cisowa/usi_rp_15816.json,2026-05-25T02:06:18.290055,2026-06-02T23:13:17.567936,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/kameralny-ruczaj/usi_oto_4sNBo.json,2026-05-25T02:06:18.240729,2026-05-25T02:06:18.240731,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/kopalniana-7/usi_oto_4wHY7.json,2026-05-25T02:06:18.244306,2026-05-25T02:06:18.244307,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/moj-przewoz/usi_oto_4yd1S.json,2026-05-25T02:06:18.247519,2026-05-25T02:06:18.247520,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/nova-mikolowska-city-garden/usi_oto_4zNJ3.json,2026-05-25T02:06:18.250933,2026-05-25T02:06:18.250934,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/osiedle-area-park/usi_oto_4jCpz.json,2026-05-25T02:06:18.254342,2026-05-25T02:06:18.254344,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/osiedle-area-park-ii/usi_oto_4yGqW.json,2026-05-25T02:06:18.258165,2026-05-25T02:06:18.258167,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/staw-plaszowski-ii/usi_oto_4xpgc.json,2026-05-25T02:06:18.262509,2026-05-25T02:06:18.262511,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/swiatovida/usi_oto_4pqlt.json,2026-05-25T02:06:18.266525,2026-05-25T02:06:18.266526,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/activ-investment/swiatovida-bud-b2/usi_oto_4sDhp.json,2026-05-25T02:06:18.270269,2026-05-25T02:06:18.270271,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/4-wieze-wieza-c-katowice-zespol-dzielnic-zachodnich/usi_rp_4848.json,2026-05-25T02:06:18.131331,2026-06-02T23:13:17.309862,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/apartamenty-mogilska-etap-iii-krakow-pradnik-czerwony/usi_rp_8335.json,2026-05-25T02:06:18.136135,2026-06-02T23:13:17.316500,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/apartamenty-mogilska-etap-iv-krakow-pradnik-czerwony/usi_rp_8370.json,2026-05-25T02:06:18.139014,2026-06-02T23:13:17.326086,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/apartamenty-mogilska-krakow-grzegorzki/usi_rp_6672.json,2026-05-25T02:06:18.142983,2026-06-02T23:13:17.333502,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/area-park-etap-ii-gliwice/usi_rp_16420.json,2026-05-25T02:06:18.146279,2026-06-02T23:13:17.339268,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/area-park-gliwice/usi_rp_15644.json,2026-05-25T02:06:18.149312,2026-06-02T23:13:17.346787,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-etap-i-krakow-pradnik-bialy/usi_rp_4919.json,2026-05-25T02:06:18.152281,2026-06-02T23:13:17.353904,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-etap-ii-krakow-pradnik-bialy/usi_rp_7543.json,2026-05-25T02:06:18.154789,2026-06-02T23:13:17.361285,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-etap-iii-krakow-pradnik-bialy/usi_rp_8619.json,2026-05-25T02:06:18.157547,2026-06-02T23:13:17.367863,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-ii-budynek-b2-krakow-pradnik-bialy/usi_rp_14006.json,2026-05-25T02:06:18.160138,2026-06-02T23:13:17.376699,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/banacha-ii-krakow-pradnik-bialy/usi_rp_12540.json,2026-05-25T02:06:18.162879,2026-06-02T23:13:17.384381,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/braniborska-44-wroclaw-stare-miasto-szczepin/usi_rp_9370.json,2026-05-25T02:06:18.166038,2026-06-02T23:13:17.393741,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/activ-investment-sp-z-oo/konopnicka-city-park-krakow-podgorze/usi_rp_5638.json,2026-05-25T02:06:18.168730,2026-06-02T23:13:17.399714,v0.7.0+
