source,file_path,created_at,updated_at,scraper_version
oto,/Volumes/Samsam/Public/USIdata/022-investments/szalasa-5/usi_oto_4pcjZ.json,2026-05-15T23:40:41.357348,2026-05-25T02:06:18.587972,pre-v0.7.0
oto,/Volumes/Samsam/Public/USIdata/022-investments-sp-z-o-o/skarbka-z-gor-sg59/usi_oto_4tOBI.json,2026-05-25T02:06:18.582155,2026-05-25T02:06:18.582156,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/1-aleja/1-aleja-gdansk-suchanino/usi_rp_15198.json,2026-05-25T02:06:18.575236,2026-06-02T23:13:18.157134,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/28-czerwca-1956-r/28-czerwca-1956-r/usi_oto_4oFsz.json,2026-05-25T02:06:18.573513,2026-05-25T02:06:18.573515,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/2e-sp-z-oo/osiedle-kedzierskiego-radom/usi_rp_15314.json,2026-05-25T02:06:18.569296,2026-06-02T23:13:18.147838,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3-city-estate/jasienskie-domy-ii-gdansk-jasien/usi_rp_15395.json,2026-05-25T02:06:18.559583,2026-06-02T23:13:18.122817,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3-city-estate/jasminowy-stok-ii-gdansk-kokoszki/usi_rp_13499.json,2026-05-25T02:06:18.562751,2026-06-02T23:13:18.130227,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3city-invest/house-liberty-kartuski-chwaszczyno/usi_rp_16358.json,2026-05-25T02:06:18.552157,2026-06-02T23:13:18.103782,v0.7.0+
rp,/Volumes/Samsam/Public/USIdata/3city-invest/osiedle-sosnova-gdynia-chwarzno-wiczlino/usi_rp_16740.json,2026-05-25T02:06:18.555788,2026-06-02T23:13:18.113140,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/3cityinvest/nowa-polnica/usi_oto_4pImz.json,2026-05-25T02:06:18.547263,2026-05-25T02:06:18.547264,v0.7.0+
to,/Volumes/Samsam/Public/USIdata/3cityinvest/nowa-polnica-polnicy-gdansk-jasien-mieszkania-na-sprzedaz/usi_to_8879067.json,2026-06-02T10:53:48.340437,2026-06-02T10:53:48.642635,v0.7.0+
oto,/Volumes/Samsam/Public/USIdata/3d-development-b4-sp-z-o-o/osiedle-nad-zalewem/usi_oto_4ooue.json,2026-05-25T02:06:18.540143,2026-05-25T02:06:18.540145,v0.7.0+
